"plots"	"block"	"trt"
701	"7"	"Check2"
702	"7"	"PI 664522"
703	"7"	"TVu-8072"
704	"7"	"TVu-14759"
705	"7"	"IT99K-124-5"
706	"7"	"PI 664516"
707	"7"	"Check1"
708	"7"	"IT98K-498-1"
709	"7"	"FN-1-14-04"
710	"7"	"IT97K-499-35-1-1"
711	"7"	"TVu-9522"
712	"7"	"Gorda"
713	"7"	"TVu-9095"
714	"7"	"IT85F-867-5"
715	"7"	"TVu-9801"
716	"7"	"TVu-6464"
717	"7"	"Check3"
718	"7"	"TVu-4711"
719	"7"	"CB5-2"
720	"7"	"PI 664525"
721	"7"	"TVu-2398"
722	"7"	"PI 664529"
723	"7"	"PI 664523"
724	"7"	"IT89KD-288"
725	"7"	"TVu-12746"
801	"8"	"TVu-9866"
802	"8"	"TVu-14336"
803	"8"	"Check1"
804	"8"	"IT95M-190"
805	"8"	"IT98K-205-8"
806	"8"	"PI 601359"
807	"8"	"INIA-72"
808	"8"	"58-57"
809	"8"	"CB27"
810	"8"	"PI 663151"
811	"8"	"CB46"
812	"8"	"Top Pick Pinkeye Pea"
813	"8"	"TVu-3360"
814	"8"	"PI 663153"
815	"8"	"PI 664521"
816	"8"	"TVu-4984"
817	"8"	"IT97K-207-21"
818	"8"	"TVu-6968"
819	"8"	"PI 664530"
820	"8"	"TVu-16368"
821	"8"	"Check2"
822	"8"	"Check3"
823	"8"	"TVu-14393"
824	"8"	"N'diambour"
825	"8"	"PI 664524"
901	"9"	"Mouride"
902	"9"	"524B"
903	"9"	"TVu-2845"
904	"9"	"TVu-6641"
905	"9"	"Check3"
906	"9"	"China_501"
907	"9"	"Cp_4877"
908	"9"	"TVu-9506"
909	"9"	"TVu-1556"
910	"9"	"TVu-2968"
911	"9"	"UCR_5353"
912	"9"	"Mougne"
913	"9"	"TVu-4622"
914	"9"	"Check1"
915	"9"	"UCR_3326"
916	"9"	"PI 578897"
917	"9"	"TVu-15973"
918	"9"	"TVu-10513"
919	"9"	"TVu-7625"
920	"9"	"PI 664518"
921	"9"	"TVu-6439"
922	"9"	"PI 664528"
923	"9"	"Check2"
924	"9"	"Vg73"
925	"9"	"IT93K-452-1"
1001	"10"	"TVu-8631"
1002	"10"	"TVu-16505"
1003	"10"	"Iron Clay"
1004	"10"	"Check2"
1005	"10"	"TVu-8877"
1006	"10"	"PI 664532"
1007	"10"	"KVx-396-4-5-20"
1008	"10"	"Vazzano_Brown"
1009	"10"	"TVu-15315"
1010	"10"	"UCR_1342"
1011	"10"	"TVu-4669"
1012	"10"	"Early_Scarlet"
1013	"10"	"PI 664527"
1014	"10"	"PI 664526"
1015	"10"	"TVu-14401"
1016	"10"	"TVu-12923"
1017	"10"	"TVu-9508"
1018	"10"	"Check1"
1019	"10"	"TVu-946"
1020	"10"	"IT98K-555-1"
1021	"10"	"TVu-53"
1022	"10"	"PI 664514"
1023	"10"	"IT95K-1105-5"
1024	"10"	"PI 664517"
1025	"10"	"Check3"
1101	"11"	"PI 601453"
1102	"11"	"PI 666249"
1103	"11"	"TVu-14190"
1104	"11"	"TVu-9492"
1105	"11"	"PI 582920"
1106	"11"	"IT95K-1093-5"
1107	"11"	"TVu-2680"
1108	"11"	"TVu-2449"
1109	"11"	"PI 606785"
1110	"11"	"TVu-16521"
1111	"11"	"Vg58"
1112	"11"	"TVu-8702"
1113	"11"	"TVu-1886"
1114	"11"	"IT86D-364"
1115	"11"	"Check3"
1116	"11"	"TVu-8713"
1117	"11"	"Check1"
1118	"11"	"INIA-40"
1119	"11"	"TVu-9469"
1120	"11"	"IT00K-901-6"
1121	"11"	"IT98K-128-4"
1122	"11"	"PI 664531"
1123	"11"	"Apagbaala"
1124	"11"	"TVu-16465"
1125	"11"	"Check2"
